Model=CNNV3checkpoint, Epoch 32/50: BatchSize=32, Loss=0,004067, MSE=0,009062, RMSE=0,095193, R²=0,961235
Model=CNNV3checkpoint, Epoch 33/50: BatchSize=32, Loss=0,004227, MSE=0,010190, RMSE=0,100945, R²=0,956408
Model=CNNV3checkpoint, Epoch 34/50: BatchSize=32, Loss=0,003688, MSE=0,011526, RMSE=0,107359, R²=0,950694
Model=CNNV3checkpoint, Epoch 35/50: BatchSize=32, Loss=0,004007, MSE=0,010248, RMSE=0,101231, R²=0,956162
Model=CNNV3checkpoint, Epoch 36/50: BatchSize=32, Loss=0,005854, MSE=0,012705, RMSE=0,112716, R²=0,945650
Model=CNNV3checkpoint, Epoch 37/50: BatchSize=32, Loss=0,009138, MSE=0,020268, RMSE=0,142364, R²=0,913298
Model=CNNV3checkpoint, Epoch 38/50: BatchSize=32, Loss=0,006762, MSE=0,023153, RMSE=0,152161, R²=0,900954
Model=CNNV3checkpoint, Epoch 39/50: BatchSize=32, Loss=0,003928, MSE=0,015415, RMSE=0,124158, R²=0,934055
Model=CNNV3checkpoint, Epoch 40/50: BatchSize=32, Loss=0,006714, MSE=0,007767, RMSE=0,088133, R²=0,966772
Model=CNNV3checkpoint, Epoch 41/50: BatchSize=32, Loss=0,002865, MSE=0,006305, RMSE=0,079404, R²=0,973028
Model=CNNV3checkpoint, Epoch 42/50: BatchSize=32, Loss=0,001572, MSE=0,005298, RMSE=0,072790, R²=0,977334
Model=CNNV3checkpoint, Epoch 43/50: BatchSize=32, Loss=0,002200, MSE=0,005615, RMSE=0,074935, R²=0,975978
Model=CNNV3checkpoint, Epoch 44/50: BatchSize=32, Loss=0,003678, MSE=0,006240, RMSE=0,078993, R²=0,973306
Model=CNNV3checkpoint, Epoch 45/50: BatchSize=32, Loss=0,002613, MSE=0,006287, RMSE=0,079292, R²=0,973104
Model=CNNV3checkpoint, Epoch 46/50: BatchSize=32, Loss=0,000902, MSE=0,004879, RMSE=0,069848, R²=0,979130
Model=CNNV3checkpoint, Epoch 47/50: BatchSize=32, Loss=0,000764, MSE=0,005308, RMSE=0,072854, R²=0,977294
Model=CNNV3checkpoint, Epoch 48/50: BatchSize=32, Loss=0,001419, MSE=0,004631, RMSE=0,068051, R²=0,980189
Model=CNNV3checkpoint, Epoch 49/50: BatchSize=32, Loss=0,001387, MSE=0,004775, RMSE=0,069102, R²=0,979573
Model=CNNV3checkpoint, Epoch 50/50: BatchSize=32, Loss=0,002482, MSE=0,004776, RMSE=0,069107, R²=0,979569
Model=CNNV4, Epoch 1/45: BatchSize=64, Loss=0,183964, MSE=0,154053, RMSE=0,392496, R²=0,340979
Model=CNNV4, Epoch 2/45: BatchSize=64, Loss=0,123656, MSE=0,089858, RMSE=0,299763, R²=0,615598
Model=CNNV4, Epoch 3/45: BatchSize=64, Loss=0,072807, MSE=0,060396, RMSE=0,245757, R²=0,741631
Model=CNNV4, Epoch 4/45: BatchSize=64, Loss=0,046185, MSE=0,045096, RMSE=0,212357, R²=0,807086
Model=CNNV4, Epoch 5/45: BatchSize=64, Loss=0,032086, MSE=0,037945, RMSE=0,194795, R²=0,837675
Model=CNNV4, Epoch 6/45: BatchSize=64, Loss=0,025995, MSE=0,027640, RMSE=0,166254, R²=0,881757
Model=CNNV4, Epoch 7/45: BatchSize=64, Loss=0,012832, MSE=0,022216, RMSE=0,149050, R²=0,904963
Model=CNNV4, Epoch 8/45: BatchSize=64, Loss=0,011634, MSE=0,023891, RMSE=0,154568, R²=0,897796
Model=CNNV4, Epoch 9/45: BatchSize=64, Loss=0,018889, MSE=0,045750, RMSE=0,213893, R²=0,804286
Model=CNNV4, Epoch 10/45: BatchSize=64, Loss=0,012745, MSE=0,027704, RMSE=0,166446, R²=0,881485
Model=CNNV4, Epoch 11/45: BatchSize=64, Loss=0,013898, MSE=0,016625, RMSE=0,128940, R²=0,928878
Model=CNNV4, Epoch 12/45: BatchSize=64, Loss=0,006759, MSE=0,014196, RMSE=0,119145, R²=0,939273
Model=CNNV4, Epoch 13/45: BatchSize=64, Loss=0,004339, MSE=0,013481, RMSE=0,116108, R²=0,942329
Model=CNNV4, Epoch 14/45: BatchSize=64, Loss=0,006014, MSE=0,013834, RMSE=0,117616, R²=0,940821
Model=CNNV4, Epoch 15/45: BatchSize=64, Loss=0,018583, MSE=0,023779, RMSE=0,154206, R²=0,898274
Model=CNNV4, Epoch 16/45: BatchSize=64, Loss=0,012400, MSE=0,033574, RMSE=0,183231, R²=0,856375
Model=CNNV4, Epoch 17/45: BatchSize=64, Loss=0,023058, MSE=0,016093, RMSE=0,126858, R²=0,931156
Model=CNNV4, Epoch 18/45: BatchSize=64, Loss=0,011752, MSE=0,015109, RMSE=0,122917, R²=0,935367
Model=CNNV4, Epoch 19/45: BatchSize=64, Loss=0,006534, MSE=0,014175, RMSE=0,119058, R²=0,939362
Model=CNNV4, Epoch 20/45: BatchSize=64, Loss=0,011717, MSE=0,021048, RMSE=0,145078, R²=0,909961
Model=CNNV4, Epoch 21/45: BatchSize=64, Loss=0,006144, MSE=0,020019, RMSE=0,141490, R²=0,914359
Model=CNNV4, Epoch 22/45: BatchSize=64, Loss=0,004023, MSE=0,010865, RMSE=0,104234, R²=0,953522
Model=CNNV4, Epoch 23/45: BatchSize=64, Loss=0,006001, MSE=0,007541, RMSE=0,086837, R²=0,967742
Model=CNNV4, Epoch 24/45: BatchSize=64, Loss=0,005846, MSE=0,007966, RMSE=0,089250, R²=0,965924
Model=CNNV4, Epoch 25/45: BatchSize=64, Loss=0,005410, MSE=0,008787, RMSE=0,093740, R²=0,962410
Model=CNNV4, Epoch 26/45: BatchSize=64, Loss=0,007055, MSE=0,011458, RMSE=0,107040, R²=0,950986
Model=CNNV4, Epoch 27/45: BatchSize=64, Loss=0,012600, MSE=0,022034, RMSE=0,148437, R²=0,905743
Model=CNNV4, Epoch 28/45: BatchSize=64, Loss=0,015201, MSE=0,033199, RMSE=0,182205, R²=0,857980
Model=CNNV4, Epoch 29/45: BatchSize=64, Loss=0,006359, MSE=0,017236, RMSE=0,131286, R²=0,926266
